COM,P14_POP,C14_POP15P_CS3,P14_NSCOL15P_SUP,MED13,P20_POP,C20_POP15P_CS3,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,MED19
95211,2389.000000000007,288.3101883019214,492.1928117008937,27132.0,2467.0,277.596677419447,236.65858285061,196.581052392359,173.384771460465,28980
95212,116.0,12.8888888888889,13.96296296296291,20446.6666666667,112.0,0.0,8.37383177570093,12.5607476635514,1.04672897196262,23800
95213,635.999999999997,81.01910828025471,188.36942675159148,28345.2173913044,616.0,70.0,75.0,55.0,76.0,28320
95214,66.99999999999994,15.46153846153845,17.52307692307691,NA,66.0,22.7586206896552,4.55172413793103,2.27586206896552,4.55172413793103,s
95218,16495.999999999996,1677.7191030566964,3507.202380451091,22184.8,18316.999999999993,1862.6327822179805,1715.2431250277896,1340.3787048330826,1415.4918390052605,23440
95219,28925.000000000004,3246.03091142783,7276.37456340061,21979.1304347826,29229.99999999999,3644.074554578074,2554.073799705049,2369.372368899272,3433.1870818151037,23760
95229,9561.000000000004,918.0856160816577,2091.891573794397,22773.3333333333,9594.0,890.0,932.0,791.0,673.0,24430
95241,1935.0,153.06956467535198,399.719161266687,23395.2380952381,2078.0,144.625320259655,201.089963940455,128.78082423874,120.995398763895,25140
95250,9553.99999999999,486.9825744408588,1410.875831478657,21418.3333333333,9829.999999999989,617.610767265888,802.977587596178,543.740742313901,347.2719867703638,22720
95252,34013.99999999999,2884.233862228213,6957.048754772949,21647.6923076923,37347.00000000001,3374.7484384851086,3578.7896670982987,2658.0394571563897,2881.674449867796,23150
95253,474.0,90.0,139.0,27447.3333333333,515.0,70.517160046308,58.7212888828128,56.5767278662663,44.9199530687142,29980
95254,556.0,54.80286738351249,119.56989247311829,26746.2857142857,551.0,70.0,46.0,47.0,44.0,29300
95256,3163.0,315.1968263655783,737.3695453158385,25623.0,3346.0,360.0,337.0,269.0,250.0,27010
95257,4625.0,748.018490191156,1498.0460112145356,28325.2380952381,4655.0,798.922844892815,551.764418177,450.044688027189,689.340623814722,30220
95258,372.0,50.0,112.0,30455.3333333333,349.0,25.2448702975853,44.9924917128656,35.1616928818457,40.0655300598135,30030
95259,84.0,3.86206896551724,20.27586206896551,NA,NA,NA,NA,NA,NA,NA
95268,41962.0,772.6563827810779,3478.670699679754,13434.0,43215.0,1209.262855168626,2316.347475832736,1759.63840652501,1452.8625885221354,15170
95270,545.0000000000013,20.03676470588236,122.22426470588265,24029.4444444444,537.0,70.6533892465281,52.6408289421026,49.5287046382689,44.8156735146436,25420
95271,511.0,39.00763358778624,116.04770992366406,26612.5,514.0,70.0,63.0,30.0,41.0,26930
95277,26020.0,882.8542887563613,3526.6523598425715,16680.5263157895,25853.0,1042.1934780327385,1906.1343462419836,1294.057697137038,969.288228633141,18280
95280,31442.0,862.924113078679,3078.5413446398416,16322.0,30910.000000000007,821.0433460622367,1578.9895089256988,1120.2701081905498,947.5077877179721,17400
95282,172.9999999999992,36.04166666666664,52.5178571428569,27130.9523809524,156.0,16.027397260274,21.3698630136986,13.8904109589041,19.2328767123288,28630
95287,632.0,68.2014388489209,153.68057553956842,27677.1428571429,698.0,93.6781698253039,81.2163715467884,67.5087547043888,64.2477546809684,31060
95288,8653.999999999996,1065.9961778775187,2021.608654634536,23488.6666666667,8474.0,1095.0,804.0,760.0,843.0,25400
95295,176.0,16.46783625730996,47.34502923976602,29244.5,143.0,39.448275862069,17.751724137931,11.8344827586207,9.86206896551724,27580
95298,552.0,60.0,128.0,28351.6,566.0,85.0,58.0,59.0,51.0,28310
95301,290.0,4.93406712663951,67.7986050413716,25830.6666666667,290.0,45.0,20.0,26.0,27.0,24040
95303,204.99999999999923,28.13725490196075,47.23039215686257,26816.6666666667,203.0,24.0521327014218,21.1658767772512,10.5829383886256,19.2417061611374,25770
95304,264.0,38.4,91.2,31864.6666666667,281.0,45.0,38.0,31.0,39.0,34680
95306,27692.000000000007,3297.863543629881,6673.632930192096,24956.0,31747.0,4246.603216387831,3050.699778920419,2486.082689650964,3267.369114777274,26120
95308,612.0,70.0,136.0,26297.3333333333,572.0,79.6219690091821,72.8067891917741,35.6651696189689,51.8278693464219,28880
95309,229.0,31.5137614678899,38.86697247706421,23363.9130434783,213.0,9.46666666666667,25.56,15.1466666666667,15.1466666666667,24640
95313,11804.000000000004,1422.3881669916289,3491.04160417279,25910.5555555556,11722.999999999989,1463.425167964699,1234.4580795939569,1164.533698752675,1327.0377868401679,27650
95316,252.0,34.18604651162792,58.60465116279072,26840.9523809524,271.0,29.7414951077942,38.026122322519,21.0227481862961,17.9175872825588,29300
